SQM,Bedrooms,HasYard,HasPool,Floors,SuburbType,NumPrevOwners,Made,HasStormProtector,Basement,Attic,Garages,HasStorageRoom,LivingRooms,Price
10000,2,No,No,2,Middle Class,4,1995,Yes,3114,1258,1,Yes,2,10313.5
10000,4,No,No,1,Exclusive,1,2011,Yes,9390,6219,2,No,2,13229.1
10000,2,No,Yes,1,Working Class,4,2003,No,2239,2795,2,Yes,2,3607.825
10000,2,No,Yes,1,Middle Class,2,1990,No,6861,5769,1,No,1,9829.075
10000,5,No,No,1,Middle Class,9,1992,Yes,6618,7045,,Yes,2,14547.875
10000,2,No,No,2,Middle Class,2,2010,No,4426,5336,2,No,1,26089.85
10000,1,No,No,1,Middle Class,3,1990,No,6022,8521,1,Yes,1,27007.45
20000,2,No,No,1,Middle Class,3,2000,No,2325,6230,1,No,2,32884.65
10000,4,No,No,2,Working Class,2,2020,Yes,8598,3119,1,No,2,37058.65
10000,2,No,No,2,Upper Class,6,1995,Yes,,6452,2,Yes,1,45941.375
10000,2,No,Yes,1,Middle Class,1,2021,Yes,6831,1323,1,No,2,46251.075
10000,4,Yes,Yes,1,Working Class,4,2012,Yes,475,4115,2,Yes,2,49895.95
10000,4,No,Yes,2,Middle Class,1,2002,Yes,7704,7896,1,Yes,2,51811.475
10000,1,No,Yes,2,Middle Class,4,1997,No,3411,8985,1,No,1,52646.4
10000,2,Yes,Yes,1,Middle Class,1,1991,Yes,411,475,,No,2,105476.6
10000,3,No,Yes,1,Upper Class,6,2014,No,2663,1650,1,Yes,2,113415.225
25000,1,No,No,1,Upper Class,5,2009,Yes,3367,1039,1,Yes,1,114095
10000,5,Yes,Yes,1,Upper Class,2,2019,No,9680,5250,0,No,2,124343.3
10000,3,Yes,No,1,Working Class,1,2014,No,1820,999,2,Yes,1,127166.275
10000,4,No,Yes,2,Middle Class,5,2000,No,6453,5671,2,Yes,2,132722.6
10000,1,Yes,No,2,Working Class,4,1996,Yes,5740,8505,0,Yes,2,137279.75
10000,5,No,No,2,Upper Class,6,2005,No,6355,5668,2,No,1,137917.2
10000,4,No,Yes,1,Upper Class,6,2013,Yes,4070,7336,2,No,2,145282.5
10000,3,No,Yes,1,Exclusive,3,2016,No,5927,8680,2,No,2,145726.85
10000,4,No,Yes,1,Middle Class,9,2011,Yes,2951,2630,2,Yes,2,150382.85
10000,4,No,No,1,Middle Class,10,2021,Yes,782,9569,1,Yes,1,152899.125
10000,3,No,Yes,1,Exclusive,2,1994,No,7172,3199,2,Yes,1,153785.8
10000,4,Yes,Yes,2,Working Class,2,2015,No,2522,1313,2,No,1,164227.75
10000,2,Yes,No,1,Exclusive,10,1994,Yes,9024,7783,2,No,2,168454.275
10000,5,No,No,1,Middle Class,4,1993,Yes,2366,4016,,Yes,1,168571.275
10000,2,Yes,No,1,Exclusive,4,2021,Yes,2024,8877,1,Yes,1,172419.925
